logFC	AveExpr	t	P.Value	adj.P.Val	b	Probe.ID	gene_symbol
-0.093	6.677	-1.03	0.338	0.702	-6.371	10344614	Gm16088
-0.098	2.998	-1.116	0.302	0.674	-6.281	10344616	Gm26206
-0.215	5.055	-2.589	0.037	0.287	-4.287	10344620	Gm10568
-0.122	12.057	-1.588	0.157	0.526	-5.714	10344624	Lypla1
0.014	10.087	0.222	0.831	0.953	-6.903	10344633	Tcea1
-0.034	9.947	-0.464	0.657	0.884	-6.81	10344637	Atp6v1h
0.018	4.754	0.176	0.866	0.964	-6.913	10344653	Oprk1
-0.029	9.021	-0.35	0.737	0.917	-6.862	10344658	Rb1cc1
-0.217	4.391	-2.176	0.067	0.373	-4.893	10344674	Fam150a
0.175	5.643	1.102	0.307	0.677	-6.296	10344679	St18
-0.063	9.974	-0.744	0.482	0.798	-6.629	10344707	Pcmtd1
-0.038	13.433	-0.493	0.638	0.877	-6.795	10344713	Ahcy
0.006	5.262	0.063	0.951	0.987	-6.928	10344715	LOC102632303
-0.136	3.57	-1.525	0.172	0.544	-5.796	10344717	Gm24276
0.012	6.063	0.099	0.924	0.979	-6.925	10344719	Gm6152
0.065	2.941	0.785	0.459	0.785	-6.596	10344721	Gm24765
0.061	7.776	0.551	0.599	0.861	-6.762	10344723	Rrs1
0.327	11.994	4.653	0.002	0.075	-1.449	10344725	Adhfe1
-0.257	10.726	-3.206	0.015	0.194	-3.387	10344741	Hnrnpa3
0.064	5.762	0.548	0.601	0.862	-6.764	10344743	3110035E14Rik
-0.213	9.139	-2.06	0.079	0.403	-5.061	10344750	Sgk3
-0.175	4.977	-1.878	0.103	0.444	-5.32	10344772	Mcmdc2
-0.099	8.339	-1.056	0.327	0.693	-6.344	10344789	Cspp1
-0.128	8.459	-1.24	0.256	0.631	-6.144	10344797	Cspp1
-0.102	8.848	-1.331	0.226	0.602	-6.037	10344799	Cspp1
-0.1	8.644	-0.914	0.392	0.742	-6.483	10344801	Cspp1
-0.082	8.329	-0.56	0.593	0.859	-6.756	10344803	Cspp1
-0.274	8.485	-1.919	0.097	0.434	-5.261	10344805	Cspp1
-0.066	8.053	-0.467	0.655	0.884	-6.809	10344807	Cspp1
-0.181	7.92	-1.578	0.16	0.529	-5.727	10344809	Cspp1
-0.061	8.901	-0.93	0.384	0.735	-6.469	10344811	Cspp1
-0.288	8.314	-2.41	0.048	0.32	-4.552	10344813	Cspp1
-0.104	8.173	-1.431	0.196	0.57	-5.914	10344815	Cspp1
-0.299	7.778	-2.781	0.028	0.254	-4.006	10344817	Cspp1
-0.11	7.566	-1.104	0.307	0.677	-6.294	10344819	Cspp1
-0.116	7.774	-1.27	0.246	0.622	-6.109	10344821	Cspp1
0.007	8.339	0.066	0.95	0.986	-6.928	10344837	Prex2
0.078	5.069	0.744	0.482	0.798	-6.629	10344879	A830018L16Rik
-0.154	6.616	-1.993	0.087	0.419	-5.157	10344897	Sulf1
-0.103	5.248	-0.847	0.426	0.764	-6.544	10344922	Gm5250
0.189	9.09	1.868	0.105	0.447	-5.334	10344924	Xkr9
-0.032	5.641	-0.376	0.718	0.909	-6.851	10344929	Gm9947
-0.185	11.541	-2.322	0.054	0.338	-4.68	10344931	Rpl5
-0.095	5.271	-0.755	0.475	0.794	-6.62	10344935	Kcnb2
0.065	8.501	0.593	0.572	0.847	-6.736	10344939	Terf1
0.044	6.347	0.363	0.727	0.913	-6.856	10344950	Gm7634
-0.062	10.141	-0.703	0.505	0.812	-6.66	10344952	Rdh10
0.088	9.139	1.129	0.297	0.668	-6.267	10344960	Tmem70
0.877	10.664	5.073	0.002	0.06	-0.944	10344966	Ly96
-0.144	4.875	-0.941	0.379	0.731	-6.458	10344973	Gdap1
0.229	5.421	2.781	0.028	0.254	-4.006	10344981	Pi15
0.123	6.323	1.238	0.256	0.632	-6.146	10344990	Crispld1
0.051	5.456	0.563	0.591	0.857	-6.754	10345007	Tfap2d
0.043	5.527	0.417	0.69	0.897	-6.833	10345016	Tfap2b
0.04	11.09	0.302	0.772	0.931	-6.879	10345025	Iars
-0.143	3.061	-1.696	0.135	0.493	-5.57	10345028	Mir206
-0.039	6.625	-0.425	0.684	0.895	-6.829	10345030	Mir133b
-0.062	6.042	-0.476	0.649	0.881	-6.804	10345032	Il17a
0.089	6.751	1.092	0.312	0.68	-6.307	10345037	Paqr8
0.117	6.374	1.088	0.313	0.682	-6.311	10345046	Efhc1
0.319	6.851	3.906	0.006	0.122	-2.412	10345058	Tmem14a
0.237	13.256	2.463	0.044	0.31	-4.474	10345065	Gsta3
-0.194	5.001	-1.898	0.1	0.439	-5.292	10345074	Cetn4
-0.286	3.767	-2.064	0.079	0.402	-5.055	10345077	Khdc1a
0.104	5.792	0.811	0.445	0.776	-6.574	10345079	Khdc1c
-0.036	5.377	-0.251	0.809	0.945	-6.895	10345083	Khdc1b
-0.081	6.084	-1.072	0.32	0.688	-6.328	10345087	Mir30a
-0.278	5.35	-2.71	0.031	0.266	-4.11	10345089	Mir30c-2
-0.01	6.341	-0.104	0.92	0.979	-6.924	10345091	B3gat2
